file,line,type,commit,author,date,time,timezone,datetime,depth,length
static\style.css,189,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,0
static\style.css,190,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,31
static\style.css,191,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,24
static\style.css,192,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,31
static\style.css,193,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,18
static\style.css,194,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,50
static\style.css,195,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,12
static\style.css,196,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,0
static\style.css,197,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,0
static\style.css,198,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,23
static\style.css,199,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,27
